recipe_id;username;rating;comment
66df54be-9bf8-4e02-81da-1fa69ec194ac;EatingWell Member;5;There are tons of fresh flavors packed in these meatballs, particularly the briny salmon and the grassy dill. The salty feta, coupled with the tomatoes, bring lots of umami.
66df54be-9bf8-4e02-81da-1fa69ec194ac;EatingWell Member;4;I don't often have canned salmon in my house, but when I do, I'm making these. These would be great to add to a salad or stuff into a pita pocket.
48b87645-5ea3-47d4-aa82-5e07b5ade660;Talaesea Ronneberg;5;I will make this tomorrow morning.
48b87645-5ea3-47d4-aa82-5e07b5ade660;EatingWell Member;5;This was a perfect balance of sweet and tart from the blueberries and lemon. The kale was barely noticeable! Love hiding greens in smoothies.
48b87645-5ea3-47d4-aa82-5e07b5ade660;EatingWell Member;5;This smoothie is tart from the blueberries and sweet from the banana. It is well balanced by the brightness of the lemon coupled with the bitter kale and tea. A very refreshing, quick breakfast.
e7504280-01bd-4c27-aae6-21c8229f8fe9;EatingWell Member;5;I made it exactly as written. Very good. I will be making it again.
cbb87adf-fae3-4d3e-a34e-1b8ae8344940;Marcia Hiruo;5;Sounds good.If you do not have fresh ginger, can you use ground ginger?
83abfcc3-28fc-427b-be65-3e2b0a6e7dc9;EatingWell Member;5;This tofu has wonderful texture and brings a lot to the table (literally!) Satisfying and complex -- wouldn't have guessed that it's vegan!
76c69e0f-d391-41e3-958d-ad5cde8e8718;EatingWell Member;5;This was great! We made our salmon in the air fryer, and it turned out great. The mayo sauce will brown, but does not interfere with taste. Put our veggies in the oven at 380 for about 25 mins and then broiled. Added some lemon juice and it was a great little dinner with good flavor!
504e390d-d93d-43fc-b3bf-829d5303485b;Jennifer Edwards;5;Really good and rich even though I only used half the cream cheese, no fontina cheese, chickpea pasta, and milk instead of half and half. Also used grilled chicken strips and skipped the oven.
504e390d-d93d-43fc-b3bf-829d5303485b;EatingWell Member;2;Too high carb for this senior citizen and where would I find the sundried tomato oil? Disappointed. It looks good, but poison for me!
504e390d-d93d-43fc-b3bf-829d5303485b;EatingWell Member;3;3 stars b/c I plan to make this with as many fat free products as possible. Looks like a great recipe though.
504e390d-d93d-43fc-b3bf-829d5303485b;joshuaddiazfranco;5;The good things about this recipe is that you can customize it to your liking best. I did it without an oven, since I don't have any, simply cooked all the ingredients separately then mixed them all. What I found is that one half of the cheese is more than adequate if not oven cooked, otherwise is great delicious.
504e390d-d93d-43fc-b3bf-829d5303485b;EatingWell Member;5;I did used more veggies,Italian tomato sauce and ground chicken meatballs..
504e390d-d93d-43fc-b3bf-829d5303485b;EatingWell Member;5;Super tasty and rich! The cream sauce coats the pasta and chicken perfectly. This bake is also jam-packed with spinach. This is a healthy dish that is filling and tasty!
504e390d-d93d-43fc-b3bf-829d5303485b;EatingWell Member;5;It's a wonderful pasta bake with tons of tomatoey goodness! It's creamy with lots of depth of flavor and a lovely cheesy finish from the fontina.
1ffe61b3-f7b7-4174-a3b5-66e025abf34b;EatingWell Member;5;This was delicious
