recipe_id;username;rating;comment
29dd6849-53e4-440b-b32d-e876f2614cdf;jbart74;5;This was really quite delicious! I had to sub Arborito rice for the Orzo as my husband needs a gluten free diet. I thought it would take to long to cook in the oven, this killing the chicken but I only needed to add five minutes and another 1/2 cup of chix stock and it was amazing. I did squeeze a couple of fresh lemon wedges over the final product with the fresh parsley and I think that upped the flavor profile in a good way. This is a great recipe and it's going into our monthly rotation, especially during the winter months in upstate NY. Thank you for posting this recipe!
29dd6849-53e4-440b-b32d-e876f2614cdf;Veronica Sirvian;5;Delicious, didn’t change anything except reducing the butter by half
29dd6849-53e4-440b-b32d-e876f2614cdf;EatingWell Member;5;This casserole is quick and simple. It is reminiscent of very chicken piccata with it brightness, plus the briny capers. The kale was a great addition. It brings lots of texture and an earthy, bitterness to balance everything out.
29dd6849-53e4-440b-b32d-e876f2614cdf;EatingWell Member;5;One-pan Chicken Piccata AND veggies and orzo are included?? Say it isn't so! I would make this again and again.
3524f8b5-6371-4c6d-ab38-ddaf0c164a10;EatingWell Member;5;Damaged houses lie in ruins, in the aftermath of an earthquake at Pipaldanda village of Jajarkot district
3524f8b5-6371-4c6d-ab38-ddaf0c164a10;Frank Sullivan;3;Out of curiosity, what would you do this recipe to make it easier on people who can't handle vinegar and super spicy?
30834224-7565-4f4f-bb1e-67562401f00d;EatingWell Member;4;This is a very simple and hearty vegetable soup. The orzo gives it heft enough to make it a full meal! Vegans rejoice!
30834224-7565-4f4f-bb1e-67562401f00d;EatingWell Member;4;This vegetable soup skews Italian. I appreciate that the pasta is cooked in the broth. That's one less dish to clean up!
518c1b33-a422-4a0f-a92d-44b46a3873fb;EatingWell Member;5;I love the way the maple syrup caramelizes in the oven and the tang that the balsamic vinegar brings. The fresh, floral time is so nice as well. Also, the best part is the crispy little leaves that fall off and get extra crisp and caramelized. I like to eat all those before they even hit the table.
518c1b33-a422-4a0f-a92d-44b46a3873fb;EatingWell Member;5;Theres is great caramelization on the brussels thanks to the sugar content of both the maple syrup and balsamic vinegar. The earthy thyme couples nicely with the sweetness too.
cde56261-38a3-4f67-8297-4247d799ef7a;EatingWell Member;5;First off I never understood the value of a potato much less the skin but to have this excellent post peeking recipe sure saves on waste of one does not have peel eating animals or fowl or a garden.Over the years I have wasted oh so many peels but never again. Thankful for the tip to immediately season as well
cde56261-38a3-4f67-8297-4247d799ef7a;EatingWell Member;4;What a fun way to use up the scraps from your potatoes! Waste not, want not! These get delightfully crispy and are perfectly salty. That alone is a reason to make them!
cde56261-38a3-4f67-8297-4247d799ef7a;EatingWell Member;4;These are way better than I had expected. Crispy, salty, and easy to make!
cde56261-38a3-4f67-8297-4247d799ef7a;EatingWell Member;5;Crispy, well seasoned, and a fun alternative to potato chips if you love the skins of potatoes.
e605be7e-3bbe-4fcb-a18e-e88fb6cc5bd4;EatingWell Member;5;I loved this salad that was surprisingly reminiscent of a Caesar. The sweetness of the roasted cabbage works great with the umami-packed dressing.
e605be7e-3bbe-4fcb-a18e-e88fb6cc5bd4;EatingWell Member;5;Like Caesar salad meets roasted vegetables. I love the peppery parmesan dressing. So simple and so tasty.
